,subject,session,run,task,space,directory,fullpath,edgefrac,hfc
0,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.39062872287932954,0.33684210526315794
1,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2775302265982799,0.09824561403508773
2,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.38363356430731743,0.4421052631578948
3,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.36896744796814784,0.5333333333333334
4,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.28267445231847765,0.056140350877192984
5,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.41085205323011814,0.10526315789473684
6,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.35458563777591534,0.11228070175438597
7,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.301820367846687,0.46315789473684216
8,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.2889256258896665,0.5052631578947369
9,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3197536083631433,0.4771929824561404
10,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.4031284701202306,0.09824561403508773
11,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.385316800304421,0.624561403508772
12,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3664428061004179,0.4771929824561404
13,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.36805512247348865,0.5192982456140351
14,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.3292598296831671,0.14035087719298245
15,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.38967143575674845,0.19649122807017547
16,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.39045767385394337,0.38596491228070173
17,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.30555846939923814,0.16140350877192983
18,01,,,1back,MNI152NLin6Asym,sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,/LOCAL/jzerbe/faces_vs_houses/ds002938/derivatives/melodic/sub-01/sub-01_ses-None_task-1back_run-None_space-MNI152NLin6Asym_melodic,0.4292359872545972,0.6526315789473685
